Sno,Layer,Module,Epic,Story,Task,Description,Priority,Phase,Status,Notes
JSV2S1001,Ingestion,Job Ingestion,Platform Foundation,Source Adapter Framework,[Platform] Define source adapter contract,Define a common interface for all job sources so the orchestrator remains source-agnostic.,,Phase 1.5,Completed,"Built 2026-09-03. features/ingestion/sources/types.ts - JobSourceAdapter. Thin by design: fetch and map only, since validate/dedupe/persist already exist in ingest.ts and work for every source. FetchParams.limit is a cost control, not a convenience. VALIDATED by three live Apify runs on 2026-09-17: run ids 7c4f35bd, f3935381 and 683ccbb0, ten results each, $0.005 each. The JobSourceAdapter contract was exercised end to end for the first time - isConfigured(), fetch(), the FetchResult shape with jobs/failures/notes, and costUsd added the same day. The contract held without modification against real actor output, which is the only test that mattered for it."
JSV2S1002,Ingestion,Job Ingestion,Platform Foundation,Source Adapter Framework,[Platform] Create source registry,Create configuration-driven registry to enable/disable job sources and associate each source with its adapter and mapping configuration.,,Phase 2,Not Started,
JSV2S1003,Ingestion,Job Ingestion,Platform Foundation,Configuration,[Platform] Define sources.yaml,"Define source-level configuration including enabled state, source type, runtime parameters and fetch settings.",,Phase 2,Not Started,
JSV2S1004,Ingestion,Job Ingestion,Platform Foundation,Configuration,[Platform] Define mapping.yaml structure,Define a standard configuration format for mapping source-specific fields into the canonical Raw Job model.,,Phase 2,Not Started,
JSV2S1005,Ingestion,Job Ingestion,Platform Foundation,Configuration,[Platform] Define custom parser override mechanism,Allow source-specific code logic where configuration-only mapping is insufficient.,,Phase 2,Not Started,
JSV2S1006,Ingestion,Job Ingestion,Platform Foundation,Secrets,[Platform] Configure secrets management,Store Apify/API credentials and other source secrets securely through GitHub Secrets/environment configuration.,,Phase 1.5,Review,"BUILT 2026-09-04. All credentials via GitHub Secrets in .github/workflows/daily.yml, materialised to .env.local at run time and shredded after. APIFY_TOKEN added to env.ts as optional so mock mode needs no credential."
JSV2S1007,Ingestion,Job Ingestion,Platform Foundation,Canonical Model,[Platform] Define RawJob schema,Define the canonical job object shared by every source before persistence.,,Phase 1,Completed,Zod schema in features/ingestion/schema.ts; source-agnostic so Phase 2 adapters write to it unchanged.
JSV2S1008,Ingestion,Job Ingestion,Platform Foundation,Canonical Model,[Platform] Add schema versioning,Add schema version so historical raw jobs can be safely reprocessed when the model evolves.,,Phase 1,Completed,raw_jobs.schema_version defaults to 1.
JSV2S1009,Ingestion,Job Ingestion,Platform Foundation,Persistence,[Platform] Create RAW_JOBS table,"Persist normalized job fields, source identifiers, URLs, raw payload and ingestion lifecycle metadata.",,Phase 1,Completed,25 columns; raw_payload retained verbatim; first_seen_at/last_seen_at for JSV2S1041.
JSV2S1010,Ingestion,Job Ingestion,Platform Foundation,Persistence,[Platform] Create INGESTION_RUNS table,"Track each source execution, volume, status, duration and failures.",,Phase 1.5,Completed,"Built 2026-09-03. db/schema/ingestion-runs.ts. MIGRATION GENERATED, NOT APPLIED: db/migrations/0005_flawless_pestilence.sql. Run npm run db:migrate when you are ready. 2026-09-05: migration 0005 applied, so ingestion_runs and ingestion_failures now exist. VALIDATED 2026-09-05 by tests/integration/run-ledger.itest.ts: 15 assertions against the live database covering the open-at-running row, params, per-stage logs, partial-vs-failed status, the finally that prevents a run stuck at running, source isolation naming which source failed, retry/backoff including no-retry on 4xx, and the DLQ with payload retention, cascade delete and buffered single insert."
JSV2S1011,Ingestion,Job Ingestion,Platform Foundation,Observability,[Platform] Establish ingestion logging,"Standardize logs across sources for fetch, mapping, validation, dedupe and persistence stages.",,Phase 1.5,Completed,"Built 2026-09-03. Structured stage logs on ingestion_runs.logs via RunRecorder.log(); stages are fetch/map/validate/dedupe/persist. 2026-09-05: migration 0005 applied, so ingestion_runs and ingestion_failures now exist. VALIDATED 2026-09-05 by tests/integration/run-ledger.itest.ts: 15 assertions against the live database covering the open-at-running row, params, per-stage logs, partial-vs-failed status, the finally that prevents a run stuck at running, source isolation naming which source failed, retry/backoff including no-retry on 4xx, and the DLQ with payload retention, cascade delete and buffered single insert."
JSV2S1012,Ingestion,Job Ingestion,Platform Foundation,Observability,[Platform] Establish ingestion metrics,"Track jobs fetched, inserted, updated, duplicated, reposted and failed by source/run.",,Phase 1.5,Completed,"Built 2026-09-03. Counts are columns on ingestion_runs, not derived: derivation cannot see rejected rows, so a fetch that dropped everything would look like a fetch that found nothing. statusFor() unit tested. 2026-09-05: migration 0005 applied, so ingestion_runs and ingestion_failures now exist. VALIDATED 2026-09-05 by tests/integration/run-ledger.itest.ts: 15 assertions against the live database covering the open-at-running row, params, per-stage logs, partial-vs-failed status, the finally that prevents a run stuck at running, source isolation naming which source failed, retry/backoff including no-retry on 4xx, and the DLQ with payload retention, cascade delete and buffered single insert."
JSV2S1013,Ingestion,Job Ingestion,Platform Foundation,Reliability,[Platform] Define source failure isolation,Ensure one failed source does not stop other sources from executing.,,Phase 1.5,Completed,"Built 2026-09-03. features/ingestion/reliability.ts - isolate()/isolateAll() return failures instead of throwing. Plus the 'partial' run status so partial success is not reported as either outcome. 2026-09-05: migration 0005 applied, so ingestion_runs and ingestion_failures now exist. VALIDATED 2026-09-05 by tests/integration/run-ledger.itest.ts: 15 assertions against the live database covering the open-at-running row, params, per-stage logs, partial-vs-failed status, the finally that prevents a run stuck at running, source isolation naming which source failed, retry/backoff including no-retry on 4xx, and the DLQ with payload retention, cascade delete and buffered single insert."
JSV2S1014,Ingestion,Job Ingestion,Platform Foundation,Reliability,[Platform] Define retry/backoff strategy,"Standardize retry behaviour for API failures, rate limits and transient errors.",,Phase 1.5,Completed,"Built 2026-09-03. withRetry() with full-jitter exponential backoff; isRetryable() does not retry 4xx. Sleep and jitter injectable so tests do not wait. 8 unit tests. 2026-09-05: migration 0005 applied, so ingestion_runs and ingestion_failures now exist. VALIDATED 2026-09-05 by tests/integration/run-ledger.itest.ts: 15 assertions against the live database covering the open-at-running row, params, per-stage logs, partial-vs-failed status, the finally that prevents a run stuck at running, source isolation naming which source failed, retry/backoff including no-retry on 4xx, and the DLQ with payload retention, cascade delete and buffered single insert."
JSV2S1015,Ingestion,Job Ingestion,Platform Foundation,Reliability,[Platform] Define failed-job/DLQ handling,Preserve failed payloads and processing errors for investigation/reprocessing without breaking the ingestion run.,,Phase 1.5,Completed,"Built 2026-09-03. db/schema/ingestion-failures.ts - DLQ with verbatim payload, stage, error and reprocessedAt. Failures buffered and written once per run, not per row. 2026-09-05: migration 0005 applied, so ingestion_runs and ingestion_failures now exist. VALIDATED 2026-09-05 by tests/integration/run-ledger.itest.ts: 15 assertions against the live database covering the open-at-running row, params, per-stage logs, partial-vs-failed status, the finally that prevents a run stuck at running, source isolation naming which source failed, retry/backoff including no-retry on 4xx, and the DLQ with payload retention, cascade delete and buffered single insert."
